ACTION              | BUTTON                                              | FILE
Reset Gyro          | PS4Controller Button.kOptions                       | DriveSubsystem.java
Intake In           | PS4Controller Button.kR2                            | AlgaeSubsystem.java
Intake Out          | PS4Controller Button.kL2                            | AlgaeSubsystem.java
Bucket Dump         | PS4Controller Button.kR1                            | BucketSubsystem.java
Bucket Load         | PS4Controller Button.kL1                            | BucketSubsystem.java
Bucket Start        | PS4Controller Button.kShare                         | BucketSubsystem.java
Extend              | PS4Controller Button.kCircle                        | HorzontalExtenderSubsystem.java
Retract             | PS4Controller Button.kCross                         | HorzontalExtenderSubsystem.java
Drive               | PS4Controller Left Stick                            | RobotContainer.java
Turn                | PS4Controller Right Stick                           | RobotContainer.java
Elevator Level Up   | PS4Controller DPad Up                               | ElevatorSubsystem.java
Elevator Level Down | PS4Controller DPad Down                             | ElevatorSubsystem.java
Apriltag Adjustment | PS4Controller Button.kR3 (right stick button)       | LimelightSubsystem.java
